datesolo,postcode,price,propertyType,bedrooms
2007-04-03,2926,450888,townhouse,2
2007-07-24,2675,262596,unit,3
2007-04-07,2759,266238,house,4
2007-04-24,2664,354561,house,3
2007-08-19,2732,342989,house,3
2007-05-05,2643,263154,house,1
2007-01-01,2746,1072275,house,3
2007-06-14,2934,333438,unit,1
2007-02-13,2697,348660,unit,4
2007-04-13,2745,287906,house,3
2007-12-02,2771,435894,house,2
2007-03-14,2765,401955,unit,5
2007-11-23,2701,369076,house,5
2007-01-26,2786,384215,house,1
2007-11-18,2946,314912,unit,2
2007-11-05,2892,256307,townhouse,5
2007-02-19,2824,280367,house,3
2007-10-30,2683,252398,house,1
2007-05-19,2683,310473,house,3
2007-01-02,2705,353363,unit,2
2007-10-21,2837,302220,townhouse,3
2007-09-17,2957,390711,unit,4
2007-02-11,2762,453725,house,5
2007-06-26,2780,389182,house,2
2007-09-13,2798,342868,townhouse,4
2007-07-29,2759,393216,house,2
2007-01-08,2618,419273,unit,5
2007-07-11,2694,355920,townhouse,2
2007-11-04,2928,332090,house,3
2007-08-18,2792,471851,townhouse,5
2007-11-17,2746,451559,house,4
2007-07-15,2821,323211,house,2
2007-02-27,2981,239175,unit,1
2007-06-06,2725,312706,unit,5
2007-08-16,2708,331393,house,4
2007-10-19,2843,441008,house,4
2007-09-10,2652,314130,house,5
2007-10-18,2879,403864,house,1
2007-11-25,2939,309923,house,5
2007-04-12,2781,378511,townhouse,3
2007-05-01,2667,257731,house,4
2007-02-17,2940,306536,house,2
2007-05-15,2738,432054,house,5
2007-05-03,2949,320035,house,3
2007-10-09,2988,484011,townhouse,5
2007-10-27,2642,473431,house,3
2007-01-16,2658,229963,house,4
2007-07-06,2817,274773,house,3
2007-12-11,2702,287518,unit,2
2007-12-15,2623,514295,unit,5
2007-05-04,2840,184373,unit,1
2007-08-28,2776,443742,unit,5
2007-09-01,2682,208099,house,2
2007-01-26,2963,526251,unit,4
2007-08-28,2800,318622,unit,2
2007-03-14,2966,549004,house,2
2007-02-14,2945,240320,townhouse,1
2007-02-23,2690,342078,house,5
2007-10-31,2853,519873,unit,4
2007-06-01,2602,420337,house,4
2007-09-24,2960,340906,house,4
2007-03-31,2748,467751,house,4
2007-10-31,2907,344424,house,4
2007-07-29,2708,454830,house,5
2007-07-11,2686,262266,house,4
2007-08-05,2926,284254,townhouse,3
2007-07-03,2804,406337,house,3
2007-03-23,2950,295663,unit,1
2007-12-02,2943,326183,house,3
2007-10-31,2721,362317,unit,3
2007-08-21,2807,310782,townhouse,5
2007-05-12,2820,216867,house,3
2007-08-21,2620,418584,unit,3
2007-12-06,2753,360494,house,1
2007-07-09,2798,1238368,house,4
2007-09-25,2773,392316,house,2
2007-07-11,2950,214149,house,1
2007-02-13,2672,432119,house,2
2007-02-14,2896,303008,unit,2
2007-02-22,2800,369057,townhouse,3
2007-12-17,2927,349998,unit,3
2007-12-30,2840,489064,house,1
2007-02-24,2688,310027,unit,4
2007-03-13,2878,273452,house,2
2007-01-30,2822,330709,house,5
2007-06-12,2950,221797,townhouse,1
2007-02-28,2904,354806,house,3
2007-06-23,2960,281674,townhouse,1
2007-05-11,2938,361859,house,1
2007-12-03,2878,443610,house,5
2007-08-13,2954,373523,house,4
2007-10-03,2669,563800,unit,2
2007-02-10,2942,494808,house,5
2007-10-18,2892,359319,house,5
2007-11-22,2674,500071,house,4
2007-06-26,2988,410861,unit,3
2007-11-25,2885,300962,house,4
2007-11-08,2785,346106,house,5
2007-08-25,2955,404536,house,2
2007-10-01,2853,462898,unit,3
2007-07-13,2974,318434,house,4
2007-04-09,2817,284331,unit,2
2007-02-11,2887,291852,house,1
2007-01-09,2671,308796,house,4
2007-07-06,2855,332134,house,5
2007-09-08,2607,331437,house,5
2007-05-26,2774,290862,townhouse,2
2007-12-21,2774,397998,unit,5
2007-11-02,2737,342093,house,5
2007-10-09,2976,273351,house,4
2007-12-17,2786,342090,unit,1
2007-08-27,2984,317947,townhouse,2
2007-10-31,2895,229311,house,2
2007-05-18,2695,337080,unit,1
2007-06-22,2825,322183,unit,2
2007-09-24,2906,202586,house,5
2007-10-16,2813,364300,unit,2
2007-03-31,2752,428975,house,4
2007-06-11,2879,241874,house,2
2007-10-09,2764,231409,house,2
2007-08-24,2899,297937,townhouse,1
2007-08-25,2624,320168,unit,3
2007-02-19,2790,442696,unit,5
2007-06-07,2798,259535,house,4
2007-01-12,2994,379538,unit,4
2007-03-08,2788,450186,house,1
2007-01-15,2805,462935,house,1
2007-04-05,2606,331519,house,1
2007-02-07,2928,300186,house,3
2007-11-12,2639,172796,house,3
2007-08-07,2658,430913,unit,5
2007-02-19,2631,355870,house,5
2007-04-12,2716,270797,unit,2
2007-03-20,2824,266895,house,5
2007-06-12,2911,425823,unit,5
2007-06-11,2732,386493,unit,5
2007-11-12,2871,385688,house,3
2007-04-03,2665,264052,house,2
2007-03-31,2803,383536,unit,2
2007-01-04,2780,124545,townhouse,2
2007-06-11,2793,260580,house,4
2007-05-02,2985,534233,townhouse,4
2007-05-03,2990,247015,unit,5
2007-02-01,2862,373892,unit,1
2007-07-26,2908,257218,unit,1
2007-07-20,2640,345200,house,5
2007-05-13,2749,238382,house,2
2007-08-07,2825,618616,townhouse,5
2007-11-07,2659,340720,unit,5
2007-08-04,2700,424924,house,3
2007-08-09,2763,407814,townhouse,5
2007-06-13,2822,371359,house,4
2007-01-01,2969,360615,house,2
2007-01-05,2665,398472,unit,2
2007-02-18,2903,286205,house,2
2007-05-21,2855,485982,house,4
2007-03-25,2654,397508,house,5
2007-09-20,2920,374476,house,2
2007-01-07,2647,313912,house,5
2007-04-25,2793,436137,house,5
2007-04-01,2642,273607,house,3
2007-08-28,2654,267364,house,1
2007-07-20,2645,198321,house,3
2007-09-02,2661,308955,townhouse,2
2007-06-07,2667,442674,house,5
2007-05-07,2925,334007,house,5
2007-08-26,2947,382629,house,1
2007-01-11,2774,199951,house,3
2007-02-14,2993,349264,townhouse,4
2007-04-25,2671,446412,house,5
2007-09-01,2837,307314,townhouse,4
2007-08-13,2956,212053,house,4
2007-08-17,2808,498542,unit,2
2007-07-12,2789,327434,unit,3
2007-07-21,2888,335352,unit,3
2007-03-31,2950,248549,townhouse,1
2007-03-28,2616,398295,unit,3
2007-01-05,2684,198609,house,5
2007-08-21,2836,277775,house,5
2007-09-11,2727,311224,house,1
2007-12-19,2960,468139,unit,1
2007-09-12,2927,1603492,unit,5
2007-07-29,2698,289588,unit,1
2007-01-25,2841,1550472,house,1
2007-05-21,2873,294797,townhouse,4
2007-01-26,2644,361691,unit,1
2007-05-29,2805,289185,townhouse,4
2007-01-13,2925,358159,house,1
2007-06-01,2798,441240,house,5
2007-09-07,2787,277801,unit,2
2007-10-31,2678,407592,house,5
2007-05-14,2823,342206,house,1
2007-11-19,2963,274122,house,4
2007-04-03,2828,330648,house,3
2007-09-21,2910,424773,unit,3
2007-07-16,2709,357984,unit,5
2007-02-05,2887,268723,unit,2
2007-06-26,2601,342847,unit,5
2007-01-08,2767,256031,house,4
2007-10-20,2751,221294,townhouse,5
2007-09-08,2720,347233,unit,2
2007-07-25,2920,365421,house,1
2007-05-05,2932,266863,house,4
2007-02-26,2883,373072,townhouse,3
2007-03-06,2788,391911,house,3
2007-03-09,2613,285962,house,4
2007-09-23,2870,1798684,house,3
2007-01-27,2981,250077,house,3
2007-05-29,2931,241166,house,5
2007-04-04,2692,413971,unit,2
2007-09-24,2773,279098,townhouse,5
2007-01-12,2792,251801,unit,4
2007-10-01,2905,434860,house,3
2007-04-21,2884,215196,house,5
2007-02-20,2845,417270,unit,4
2007-04-12,2990,152263,unit,4
2007-05-10,2957,332154,house,1
2007-01-02,2758,281139,unit,4
2007-03-14,2852,446865,house,3
2007-06-16,2937,360061,house,3
2007-02-21,2645,333998,house,1
2007-12-19,2814,448137,unit,4
2007-11-01,2968,381266,unit,3
2007-11-18,2907,277770,house,1
2007-12-22,2626,265887,house,2
2007-10-03,2891,341035,house,3
2007-06-11,2937,306741,unit,3
2007-11-16,2637,379009,townhouse,4
2007-04-15,2604,365120,house,1
2007-05-16,2881,288814,unit,1
2007-10-22,2680,365693,unit,4
2007-11-27,2759,333150,unit,4
2007-08-03,2964,372319,unit,3
2007-08-20,2947,335974,unit,2
2007-02-23,2684,435489,house,5
2007-05-06,2805,400765,unit,3
2007-05-03,2783,401711,house,1
2007-12-31,2960,417890,house,2
2007-12-14,2864,194275,unit,3
2007-04-04,2692,363246,unit,5
2007-06-03,2630,364901,townhouse,3
2007-05-08,2682,298862,house,5
2007-02-21,2625,262582,house,1
2007-05-04,2861,207867,house,4
2007-08-30,2867,406069,house,4
2007-02-25,2992,257373,house,2
2007-06-06,2793,315040,unit,2
2007-03-05,2706,259842,house,3
2007-09-21,2654,394776,house,1
2007-05-31,2657,266952,unit,5
2007-12-09,2738,443392,house,2
2007-01-12,2650,506608,house,3
2007-06-04,2782,316883,house,3
2007-07-21,2725,304295,unit,4
2007-03-08,2845,404196,unit,4
2007-10-04,2742,425899,townhouse,5
2007-03-19,2866,289187,house,5
2007-06-10,2802,435800,unit,1
2007-06-23,2845,294931,unit,2
2007-08-31,2846,281764,house,5
2007-08-06,2715,214402,house,5
2007-08-10,2721,344520,house,2
2007-02-15,2948,293565,unit,5
2007-07-26,2807,367872,townhouse,5
2007-01-01,2931,337212,unit,4
2007-08-19,2849,376719,townhouse,4
2007-06-05,2977,535410,house,3
2007-06-25,2808,421501,house,4
2007-03-04,2736,267152,unit,5
2007-12-18,2763,401670,unit,4
2007-06-14,2636,417926,unit,2
2007-06-25,2744,407821,unit,3
2007-12-16,2963,278029,house,5
2007-11-16,2778,343228,house,5
2007-02-27,2612,338295,house,2
2007-01-22,2871,510085,house,1
2007-05-01,2802,413976,house,2
2007-02-05,2818,512528,unit,3
2007-06-09,2910,477430,unit,4
2007-11-04,2875,354157,house,4
2007-04-22,2683,398381,unit,5
2007-03-17,2759,303402,townhouse,4
2007-10-08,2876,402255,unit,4
2007-06-21,2608,290245,house,5
2007-04-26,2704,489443,house,2
2007-10-25,2838,341890,house,3
2007-08-27,2815,308035,unit,1
2007-10-30,2766,287204,unit,2
2007-12-28,2884,274272,house,2
2007-09-26,2847,275559,house,5
2007-08-15,2768,386811,house,5
2007-03-26,2931,302574,house,4
2007-06-16,2800,380550,house,2
2007-10-23,2742,359584,unit,4
2007-08-13,2762,239827,house,1
2007-12-01,2874,363226,townhouse,3
2007-06-29,2896,390098,house,5
2007-09-20,2669,424360,house,5
2007-08-15,2724,460318,house,3
2007-06-27,2868,271489,unit,4
2007-11-26,2700,245133,unit,3
2007-10-31,2889,217055,house,1
2007-08-18,2868,333862,unit,2
2007-04-12,2876,462179,house,5
2007-04-28,2851,244682,house,4
2007-03-15,2728,305680,unit,4
2007-09-23,2795,359254,house,5
2007-11-11,2729,251803,house,2
2007-11-30,2806,322074,house,4
2007-05-06,2956,331044,house,4
2007-08-13,2970,386743,house,1
2007-09-22,2808,306968,house,1
2007-08-15,2931,291995,townhouse,3
2007-09-13,2740,395930,unit,3
2007-06-16,2662,348558,house,3
2007-01-16,2602,354935,unit,4
2007-03-25,2796,445373,house,3
2007-01-08,2805,495558,house,2
2007-11-26,2917,437569,unit,4
2007-03-27,2845,333743,house,1
2007-03-15,2745,319103,house,2
2007-02-24,2950,319592,house,4
2007-12-14,2778,428293,townhouse,2
2007-04-18,2975,480979,house,5
2007-06-06,2635,365635,house,5
2007-01-14,2954,395591,house,4
2007-07-17,2754,558308,house,2
2007-01-09,2803,453012,unit,3
2007-10-27,2984,413860,unit,4
2007-12-27,2687,276265,unit,5
2007-09-07,2832,275348,townhouse,5
2007-09-10,2904,366894,unit,4
2007-10-20,2944,262645,house,3
2007-01-17,2994,490661,house,5
2007-08-20,2857,341567,house,3
2007-09-22,2671,465311,unit,3
2007-07-19,2685,340148,unit,1
2007-07-31,2788,301600,house,3
2007-03-23,2833,339975,house,4
2007-12-15,2716,415071,house,1
2007-08-15,2946,418672,townhouse,4
2007-10-09,2797,328057,house,2
2007-05-26,2882,506834,unit,5
2007-07-08,2673,312742,house,1
2007-05-26,2824,259593,house,5
2007-11-19,2995,348267,unit,2
2007-01-16,2657,338470,unit,1
2007-12-19,2726,269586,house,1
2007-07-29,2875,455302,house,1
2007-05-01,2660,358500,house,4
2007-04-01,2669,378051,unit,2
2007-06-23,2880,332207,unit,2
2007-05-30,2959,317429,house,1
2007-03-07,2777,396961,house,5
2007-01-07,2925,514427,house,1
2007-11-14,2619,358954,townhouse,3
2007-08-27,2973,345995,house,5
2007-11-20,2742,623872,unit,5
2007-04-21,2719,191122,house,3
2007-02-21,2654,309458,house,2
2007-11-21,2947,428206,house,3
2007-01-13,2905,394613,unit,1
2007-06-11,2993,291803,house,2
2007-01-30,2760,518908,townhouse,3
2007-10-27,2743,283463,house,5
2007-11-22,2979,414658,house,4
2007-10-20,2802,308719,house,2
2007-10-06,2816,266483,house,4
2007-07-11,2630,334044,house,4
2007-05-20,2788,443251,house,1
2007-01-11,2603,351213,house,3
2007-06-29,2676,349257,house,1
2007-09-21,2662,282894,house,1
2007-10-01,2605,319490,townhouse,5
2007-02-19,2798,358081,house,2
2007-09-17,2822,386070,townhouse,3
2007-08-11,2734,351050,house,1
2007-01-01,2821,197303,house,4
2007-10-07,2934,513329,house,2
2007-11-11,2603,462049,house,1
2007-02-15,2757,347683,townhouse,1
2007-03-19,2960,321064,unit,2
2007-05-21,2734,329962,unit,3
2007-11-13,2826,385223,house,5
2007-12-16,2701,499130,house,2
2007-01-16,2860,352190,house,5
2007-05-18,2750,294541,house,5
2007-05-21,2607,228042,townhouse,1
2007-01-17,2763,250718,house,3
2007-11-05,2862,395173,house,5
2007-05-30,2959,550454,house,2
2007-05-02,2879,268015,house,4
2007-04-01,2754,277332,house,4
2007-02-24,2918,379464,unit,5
2007-06-18,2776,192497,house,2
2007-04-07,2805,271149,unit,4
2007-02-12,2769,317976,unit,1
2007-09-06,2651,229513,house,4
2007-10-23,2630,318381,unit,2
2007-07-27,2903,372448,unit,1
2007-10-14,2848,329282,house,2
2007-05-05,2603,379653,townhouse,5
2007-02-19,2940,391384,townhouse,4
2007-08-29,2856,630990,house,3
2007-10-16,2767,406386,townhouse,1
2007-09-07,2999,405613,unit,5
2007-06-14,2873,214967,house,4
2007-06-30,2796,394399,house,5
2007-06-06,2715,423631,townhouse,2
2007-11-08,2695,415930,townhouse,1
2007-03-03,2894,381238,house,3
2007-02-15,2938,393260,unit,5
2007-11-08,2870,424394,unit,5
2007-02-26,2942,519857,house,5
2007-09-10,2848,373193,unit,2
2007-05-29,2860,304852,house,4
2007-10-10,2610,236024,house,4
2007-05-19,2998,432940,house,3
2007-01-09,2807,246060,house,4
2007-07-27,2981,244863,unit,4
2007-04-14,2616,311238,unit,3
