RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
32,41718592,Surname_32,842,Spain,Female,34.0,7,43394.75715352112,4,1,0,69690.27125834234,1
33,23386384,Surname_33,739,France,Female,41.0,0,226401.35316042157,2,0,0,24157.170103199605,0
34,16084010,Surname_34,702,France,Male,31.0,3,180272.56724551556,1,0,0,118848.21164602513,0
35,99035276,Surname_35,613,France,Female,32.0,2,63046.75485621436,4,1,1,109977.02068686242,0
36,51263724,Surname_36,499,Spain,Female,25.0,8,158516.88060928936,3,1,1,132286.05307798728,1
37,90065821,Surname_37,675,France,Male,56.0,4,115457.80728207258,4,0,1,99886.54259426388,0
38,25853058,Surname_38,785,Spain,Male,27.0,7,246491.77791109527,1,1,1,123278.85200486281,1
39,54562275,Surname_39,490,Germany,Male,46.0,9,126768.84038308164,4,1,1,80226.9629906887,0
40,80336720,Surname_40,577,Germany,Female,25.0,0,146236.18850270135,3,1,1,23597.594899317955,1
41,83108797,Surname_41,492,Spain,Female,21.0,7,89302.50057380482,3,0,1,73284.91871304033,1
42,20643285,Surname_42,709,Germany,Male,38.0,3,69867.58617553019,1,0,1,136000.8830752512,0
43,88492052,Surname_43,680,Spain,Male,25.0,1,95504.54603724506,4,0,0,34597.509099697345,1
44,40859123,Surname_44,459,Spain,,32.0,9,178257.36600391587,3,0,1,16599.177868092032,1
45,17377992,Surname_45,615,Spain,Male,35.0,0,211876.77195874814,2,0,0,97217.79170918647,0
46,57851502,Surname_46,354,Spain,,24.0,5,197308.36908180613,2,1,1,74820.40521977087,0
47,86641030,Surname_47,738,France,Male,29.0,0,232401.51626976818,3,0,1,57039.51717651101,0
48,92748246,Surname_48,383,France,Female,51.0,3,178543.43017875502,3,1,0,119644.21796363262,0
49,22183816,Surname_49,513,Germany,Female,26.0,6,189748.14021401556,4,0,1,135793.4378321456,0
50,37242846,Surname_50,375,Germany,Female,29.0,4,61596.40803583422,4,1,0,112619.02380323259,1
51,45039724,Surname_51,597,Spain,Female,41.0,1,30316.23386411844,1,0,1,109834.91868278879,0
52,22512861,Surname_52,585,Germany,Male,19.0,0,100837.40037294923,1,1,0,110865.17225778758,0
53,68782694,Surname_53,400,France,Male,29.0,9,48238.90864392935,3,1,0,37807.31465955786,1
54,95791776,Surname_54,747,Germany,Female,25.0,1,234025.34307215997,1,0,0,141858.1744791471,0
55,76330676,Surname_55,777,France,,23.0,0,56092.663325813446,3,1,0,53855.89318759297,0
56,40658551,Surname_56,588,Germany,Male,43.0,7,172828.98019344936,2,0,0,120705.00546634686,0
57,56465339,Surname_57,687,Spain,Male,55.0,4,36984.632052779634,4,0,1,46744.98352528582,0
58,98760208,Surname_58,637,Spain,Male,30.0,0,8613.981841007146,2,1,1,17648.32201250605,1
59,58384994,Surname_59,749,Germany,Female,28.0,4,194540.61055969755,3,0,1,108935.17526989682,1
60,70940893,Surname_60,597,France,Female,32.0,5,170172.88063966122,3,1,1,77379.81980314851,1
61,56016910,Surname_61,764,Germany,Female,29.0,5,55188.6247169601,2,0,1,53998.617093893925,0
62,27662009,Surname_62,521,Germany,Male,49.0,1,218266.34822894074,1,0,0,114628.24906736413,1
63,91461031,Surname_63,384,Spain,Female,40.0,7,165891.20936085642,3,1,1,73426.11178967619,1
64,57264259,Surname_64,413,Spain,Female,38.0,5,154789.00285049644,4,0,0,60585.915180328004,1
65,88232866,Surname_65,395,France,Female,57.0,2,110425.61153839467,4,0,0,34080.228306937875,0
66,14832812,Surname_66,390,Germany,Female,36.0,9,110314.35798524767,2,0,0,134484.67508287894,0
67,32833082,Surname_67,595,Spain,Male,24.0,1,85727.02740091154,2,0,0,49140.243122737,0
68,58040935,Surname_68,691,France,,41.0,0,41045.40693736552,1,0,0,58178.98166528416,0
69,35844817,Surname_69,510,France,Female,54.0,3,218717.00566061132,3,1,0,128170.63578381822,1
70,78022237,Surname_70,420,France,Male,21.0,1,83694.27867437692,2,1,0,71976.63905134138,1
71,77570658,Surname_71,438,Spain,Male,42.0,3,77366.45588807226,3,1,0,67382.3416002143,0
72,93180268,Surname_72,560,France,Male,58.0,6,112885.37716715163,3,0,0,30391.558094261538,1
73,35468670,Surname_73,808,Spain,Male,46.0,0,9460.381912382632,2,0,1,133254.68430839397,1
74,10945260,Surname_74,425,France,Male,56.0,4,227529.06042449895,2,0,1,75726.51826029517,0
75,87458819,Surname_75,352,Germany,Female,47.0,1,203990.1815958234,2,1,0,115091.55436307631,1
76,33516534,Surname_76,769,Germany,Female,48.0,8,151235.8571936708,3,0,1,103794.8033631426,0
77,12134713,Surname_77,499,Germany,Male,34.0,2,82432.28761914758,3,1,1,36503.89571911334,1
78,35778966,Surname_78,785,Spain,Female,38.0,7,130063.51319577148,3,0,0,52024.85278645182,0
79,16653805,Surname_79,611,Germany,Male,36.0,7,130510.82973548192,2,0,1,39079.02622678701,1
80,32253701,Surname_80,510,France,Male,30.0,0,122369.35951229643,1,0,1,81242.58047135455,0
81,88495334,Surname_81,549,Germany,Female,42.0,9,203222.42616578945,3,0,0,149691.67842949156,1
82,20945846,Surname_82,442,Germany,Male,32.0,3,74887.83912560748,1,1,1,85639.67292151462,0
83,63863684,Surname_83,692,France,Female,32.0,9,430.07439236378286,4,1,1,28639.075743856076,1
84,15153104,Surname_84,626,Germany,Female,58.0,3,83930.46210641805,2,0,1,75362.7225711018,1
85,81619806,Surname_85,521,Spain,Female,18.0,7,8974.802448452085,2,0,0,53653.840293094225,1
86,95534077,Surname_86,594,Germany,Female,51.0,6,45742.003733089456,4,1,0,15388.750473322863,1
87,58604711,Surname_87,756,Spain,Female,32.0,2,121711.08076156126,3,0,1,131429.95479154377,0
88,68849528,Surname_88,785,Germany,Female,43.0,0,4734.5847726570355,1,1,1,56286.99279076,1
89,90866874,Surname_89,438,Spain,Female,59.0,1,146.10510996398983,4,0,0,56357.05517859883,0
90,41625966,Surname_90,631,Germany,Female,49.0,4,216584.15657013896,4,0,0,134608.6649690022,1
91,98308043,Surname_91,487,Spain,Male,45.0,3,249740.2761965258,4,0,1,29437.69063551641,0
92,79532303,Surname_92,694,Germany,Male,32.0,0,132499.97463418538,3,0,1,14067.588077566137,0
93,22354738,Surname_93,630,France,Male,50.0,3,223192.05166368652,2,1,0,13247.837203158464,0
94,85991718,Surname_94,628,Spain,Male,39.0,6,233297.38580537846,1,0,0,22899.372201308004,0
95,46004257,Surname_95,837,France,Female,56.0,2,137714.14333737502,4,1,0,20963.974901738944,0
96,28995540,Surname_96,848,Spain,Male,35.0,5,241584.3386156671,1,0,1,20060.730216378637,0
97,75349575,Surname_97,708,Germany,Female,44.0,3,37652.662129992656,1,1,0,77866.59931134853,1
98,15051678,Surname_98,621,France,Male,30.0,1,174106.43332999418,2,0,0,140527.00448285675,0
99,32888112,Surname_99,397,France,Male,20.0,7,11629.594958747075,4,1,0,104542.36756807026,1
100,83060225,Surname_100,729,Spain,Female,23.0,3,45522.952953898355,4,0,0,148141.36580845306,1
101,73399652,Surname_101,469,Germany,Male,56.0,4,238609.67930298313,4,1,0,25567.4294875012,1
102,26358338,Surname_102,395,France,Female,30.0,6,142804.5607258111,1,1,1,63714.418857500066,0
103,79192222,Surname_103,575,Germany,Female,43.0,0,187938.733356081,1,0,1,55046.29686364111,0
104,58046734,Surname_104,413,Spain,Male,45.0,0,166695.94227222746,2,1,1,107091.74419256936,1
105,45599375,Surname_105,592,Spain,Female,39.0,5,85596.14752289638,2,0,0,116529.89367199354,0
106,81506225,Surname_106,802,France,Male,47.0,5,14116.332198666092,2,0,0,88895.90803778097,0
107,92331318,Surname_107,558,Germany,Male,47.0,2,55258.53947714043,1,1,0,112275.80578566244,0
108,70973965,Surname_108,772,Germany,Female,47.0,3,110615.08566844533,2,1,1,28918.589122006146,1
109,66421195,Surname_109,828,Germany,Female,22.0,0,34336.22948133766,2,1,0,62034.82633576336,0
110,70257886,Surname_110,615,Germany,Female,30.0,1,64650.98697208193,3,1,1,56149.629074370234,1
111,50079254,Surname_111,517,Spain,Female,46.0,1,143586.60812512363,2,1,1,148758.9853894421,0
112,96130829,Surname_112,428,Spain,Male,37.0,1,203541.08007706178,4,0,1,15951.059821200748,0
113,28782355,Surname_113,478,Germany,Male,23.0,6,74631.22255594953,3,1,0,29796.79754027578,1
114,99774323,Surname_114,786,Spain,Male,59.0,2,194981.0881677858,2,1,1,133793.21730922285,1
115,77997916,Surname_115,507,Spain,Female,46.0,2,57429.75813207005,1,1,1,48632.34537101635,0
116,45709249,Surname_116,803,Germany,Male,44.0,4,242774.07225930897,3,1,1,77832.34079926986,1
117,33891925,Surname_117,554,Germany,Female,29.0,9,186755.5609879762,2,1,0,40188.22168740417,0
118,24347034,Surname_118,538,France,Female,18.0,7,167788.611738594,3,0,1,102130.03184435549,0
119,28438887,Surname_119,509,Spain,Female,42.0,4,7136.995932327167,3,1,0,35594.81291669108,0
120,15948988,Surname_120,521,Spain,Female,21.0,8,113961.42414868019,3,0,1,50258.48804204897,0
121,83587199,Surname_121,698,Germany,Female,21.0,7,112510.31802140185,3,0,0,30905.705413193777,1
122,13268931,Surname_122,601,Spain,Male,47.0,4,115363.63499284527,1,1,1,146624.46337028826,1
123,15031734,Surname_123,384,Spain,,27.0,6,68236.70926623215,3,1,1,14793.18318391886,0
124,42453590,Surname_124,644,Germany,Female,56.0,0,236629.96499574342,3,0,0,26333.984489349765,0
125,42490334,Surname_125,749,France,Female,52.0,4,204243.6368843999,1,0,1,94337.82897383122,0
126,31691665,Surname_126,787,France,Male,26.0,8,160700.54376622304,3,0,1,29807.850606983026,1
127,79043372,Surname_127,664,Spain,Male,28.0,0,164910.50403094816,1,1,1,131704.81343222922,0
128,57604365,Surname_128,648,Spain,Male,33.0,7,57258.28083409584,1,0,0,118904.59138376832,0
129,21683283,Surname_129,709,Spain,Female,27.0,7,147536.47490203558,4,1,0,87716.48676835456,0
130,35473133,Surname_130,556,France,Female,37.0,5,204344.25490081005,1,0,0,108697.75540874184,1
131,35725587,Surname_131,657,Spain,Female,58.0,3,3226.0292609199437,4,1,0,72554.00297161183,0
132,67277006,Surname_132,760,Germany,Female,47.0,7,157980.4130021045,2,0,1,74153.08143608578,0
133,62167865,Surname_133,687,France,Male,30.0,2,37720.20350071898,2,0,0,82144.01307890775,1
134,33106823,Surname_134,745,Spain,Male,18.0,6,106285.06574517163,2,0,1,39570.361102510855,1
135,60647244,Surname_135,589,Germany,Male,49.0,4,199687.04256553782,1,1,0,144591.28330074472,1
136,75443317,Surname_136,487,Spain,Female,37.0,0,164604.54335058198,3,1,1,146139.8163687378,1
137,68100880,Surname_137,549,France,Male,28.0,7,12350.452367263759,1,1,1,54684.57045297714,0
138,24758044,Surname_138,573,France,Female,53.0,2,249341.12531715087,3,0,1,85507.74242193674,1
139,14435484,Surname_139,455,Spain,Female,30.0,7,124236.50741079115,4,1,0,77985.94536109852,0
140,52835366,Surname_140,640,Spain,Female,48.0,3,12899.06660585799,3,0,1,92492.57284237791,1
141,70380560,Surname_141,779,Spain,Female,30.0,8,169944.67155290928,3,0,0,38526.396448898486,1
142,87728108,Surname_142,835,France,Female,59.0,7,17948.687120851402,1,1,1,87673.52052475812,1
143,71489639,Surname_143,569,Spain,Female,21.0,1,244708.52991747344,3,1,0,132575.8497378191,0
144,22831049,Surname_144,392,France,Female,47.0,5,210759.5643677313,2,1,1,45275.58851795793,0
145,83770990,Surname_145,625,Spain,Male,39.0,7,26279.974175453524,3,1,1,19383.642704944592,0
146,84288458,Surname_146,620,Spain,Female,52.0,2,199277.4977302054,4,1,1,12165.64261217281,1
147,82978881,Surname_147,664,Spain,Male,50.0,3,122761.75359979563,1,0,1,83096.22091671795,0
148,10552797,Surname_148,399,Spain,Female,29.0,4,15748.70466425038,1,0,0,80439.5627245725,0
149,67850555,Surname_149,594,Germany,Female,40.0,6,169624.98911390777,2,1,0,108845.62858272054,1
150,49392208,Surname_150,576,France,Male,50.0,3,51785.37572428221,2,1,1,115904.96702375295,1
151,98646202,Surname_151,788,Spain,Female,37.0,5,168328.80799436703,3,1,0,41910.569953571205,1
152,98181419,Surname_152,495,Spain,Female,26.0,6,238608.09815637965,4,1,0,127465.03458374845,1
153,45933158,Surname_153,796,Germany,Female,28.0,5,115683.81377317465,1,1,0,26272.097361096738,0
154,82630926,Surname_154,561,Germany,Male,28.0,8,57438.6513262245,2,0,0,140389.21119843578,1
155,74182518,Surname_155,477,France,Male,48.0,0,86778.16211511544,4,1,1,110287.74691424305,0
156,44551207,Surname_156,363,Germany,Female,19.0,6,120960.06710698672,1,0,1,74995.11712048424,1
157,31953116,Surname_157,437,Spain,Male,28.0,3,10379.148014730416,2,1,1,17014.77266908504,1
158,66817549,Surname_158,767,France,Male,33.0,2,216600.77145982668,2,1,0,54314.74874362721,0
159,69155844,Surname_159,456,Germany,Female,58.0,8,166723.02743289934,4,1,0,29036.0877535735,1
160,34382024,Surname_160,572,Spain,Female,50.0,1,182825.83826206988,1,0,1,147498.5199630677,0
161,93991040,Surname_161,578,France,Female,36.0,1,162379.81078148808,2,1,1,25944.73938684054,1
162,55784586,Surname_162,517,Spain,Female,51.0,2,31679.88875285027,1,0,1,89252.56805067701,0
163,92042052,Surname_163,478,France,Female,45.0,1,148498.15427321647,3,0,0,108287.06871561903,0
164,66861660,Surname_164,594,France,Male,54.0,1,74195.41162581534,2,1,0,114595.425669158,1
165,53390425,Surname_165,673,Germany,Female,27.0,3,185479.69438564204,2,0,0,18452.778030660586,0
166,90927950,Surname_166,507,Spain,Female,43.0,0,137913.35546028562,4,0,0,28950.533705942682,0
167,29214277,Surname_167,725,Spain,Male,48.0,0,173984.8294648005,4,0,1,51116.4579437541,0
168,26153934,Surname_168,493,Spain,Female,41.0,3,71720.95613204224,3,0,0,105243.4925499857,0
169,37854749,Surname_169,841,France,Female,56.0,7,14410.478127836968,1,0,0,60481.68955349102,1
170,70729684,Surname_170,561,France,Male,43.0,2,65222.30469842416,3,1,1,99430.41260121131,0
171,60361259,Surname_171,497,France,Female,56.0,8,139448.69170748733,4,0,1,70092.19311033133,0
172,68642830,Surname_172,572,France,Male,47.0,9,134735.9091529242,2,1,1,22113.016128275973,1
173,30627981,Surname_173,450,Spain,Male,26.0,9,105027.8343130501,4,0,1,136878.5019238272,1
174,89149761,Surname_174,524,France,Female,41.0,7,240144.58523953025,2,0,0,101371.17722492637,1
175,31293056,Surname_175,500,Germany,Male,37.0,1,122642.48284627932,4,1,0,95551.18226151317,1
176,53442578,Surname_176,712,Germany,Female,18.0,7,97792.45911092064,4,1,0,38265.59831194399,0
177,61157496,Surname_177,399,Spain,Male,31.0,2,192915.25025220224,1,0,0,39712.43012722998,1
178,20513012,Surname_178,813,Spain,Male,27.0,6,65525.263608424226,3,1,0,80638.45585364685,0
179,45902502,Surname_179,399,Spain,Female,22.0,1,148641.53824234495,3,1,0,11817.02533877176,1
180,41147414,Surname_180,640,Spain,Male,30.0,8,53924.69259478702,4,1,1,144416.04010006826,0
181,12399908,Surname_181,767,Spain,Female,22.0,2,154438.7735782815,3,1,1,138877.30385299222,1
182,77156681,Surname_182,351,Spain,Female,49.0,7,128111.73670903176,1,1,0,11962.5089035031,1
183,28701110,Surname_183,386,France,Female,48.0,9,148229.75114389477,1,0,0,118828.0392364117,0
184,19069168,Surname_184,756,France,Male,55.0,2,116639.10478230135,1,0,0,112972.75819791794,1
185,88122673,Surname_185,354,France,Male,54.0,8,17671.0284543187,1,1,0,64829.64050959732,1
186,65624194,Surname_186,613,France,Female,24.0,2,224504.94131869724,1,0,1,128387.5822923351,0
187,16924721,Surname_187,424,Spain,Male,38.0,8,129358.48248456752,3,0,1,144630.90679732827,1
188,65926181,Surname_188,364,Germany,Female,37.0,1,243301.23420940834,4,0,1,103853.64072316697,0
189,21398110,Surname_189,556,France,Male,49.0,3,132504.4571391635,2,0,0,27161.76544452081,0
190,74956206,Surname_190,383,Germany,Female,38.0,9,66702.68728303602,4,1,0,47521.52168971897,0
191,40553791,Surname_191,685,Germany,Female,57.0,6,207591.27399508006,3,1,1,75836.35293449761,1
192,52296317,Surname_192,814,Germany,Female,45.0,0,236165.57065621676,1,1,1,128867.88536520029,1
193,50655848,Surname_193,645,Germany,Female,22.0,5,166970.9281463749,4,1,0,92015.01098050058,0
194,93182865,Surname_194,726,Germany,Male,44.0,3,216720.29277058344,3,1,0,85313.02309386244,0
195,30506584,Surname_195,729,France,Female,46.0,7,249350.24766525542,2,0,1,131262.29352129728,1
196,73964522,Surname_196,356,Spain,Male,41.0,4,199726.84824577652,4,0,1,129416.32263324819,1
197,30914703,Surname_197,811,France,Female,25.0,9,52295.048838627095,2,1,0,145511.0911547101,0
198,63885042,Surname_198,402,Germany,Male,49.0,7,240497.25389898167,3,0,0,146023.33211084423,0
199,97410837,Surname_199,778,Germany,Male,32.0,0,147381.61328178653,2,1,1,103049.01985178786,1
200,68113506,Surname_200,573,Germany,Female,59.0,7,129721.49418139925,1,1,0,33185.55527990578,1
201,58276639,Surname_201,726,France,Male,30.0,5,167216.02534785387,4,1,1,41070.58230450778,1
202,61670436,Surname_202,696,Spain,Female,51.0,7,20710.706886086948,1,1,0,78715.37186961262,0
203,86663828,Surname_203,761,Germany,Male,43.0,1,213106.97706701973,3,1,0,21604.752763783577,1
204,49989332,Surname_204,687,Spain,Male,20.0,6,128624.67704521288,4,0,0,77587.70928320505,0
205,17170761,Surname_205,411,Germany,Female,45.0,9,155449.53122216367,4,0,1,43785.923872861575,0
206,35168680,Surname_206,792,France,Female,36.0,8,6133.862862046063,3,0,1,31710.161701622583,1
207,20895737,Surname_207,642,France,Male,31.0,4,17900.71862086348,3,1,1,32722.343322848494,0
208,66208689,Surname_208,848,France,Male,44.0,7,180524.02156490917,1,0,1,98729.72826198483,1
209,36535937,Surname_209,443,France,Male,30.0,8,27929.682111594884,3,0,0,39186.044635837505,0
210,36299749,Surname_210,763,Germany,Male,35.0,0,202209.768550503,4,1,0,55913.44961592759,1
211,13765693,Surname_211,753,France,Male,29.0,9,246198.00491685868,1,1,0,115294.0613550423,0
212,72926029,Surname_212,683,Spain,Male,32.0,0,170394.40818502422,3,0,0,94435.09537068107,1
213,34943234,Surname_213,358,France,Female,38.0,4,117130.57175062128,4,1,0,131316.51724846446,1
214,59173199,Surname_214,710,Germany,,46.0,3,28101.284044712822,3,1,0,26071.62548217197,1
215,24139032,Surname_215,505,France,Female,38.0,3,103461.15081220708,2,1,1,45534.21393923603,1
216,83651715,Surname_216,635,Spain,Male,43.0,2,33825.91230257384,4,1,1,49210.35885603116,1
217,33855017,Surname_217,513,Germany,Male,46.0,6,209343.16130402932,2,1,1,73320.26854023206,1
218,76349417,Surname_218,727,France,,23.0,4,236698.50164309097,3,1,0,53721.81924556697,0
219,42059748,Surname_219,677,Spain,Female,53.0,1,24965.342861081317,1,1,1,79013.90950834236,1
220,86086439,Surname_220,800,Germany,Female,58.0,3,34150.25921387513,3,0,1,83757.91731366729,0
221,99312636,Surname_221,667,France,Female,35.0,0,37434.26438928207,3,0,1,61066.75451972247,1
222,97911433,Surname_222,728,France,Female,48.0,0,202420.33155087905,2,1,1,71575.65322789489,1
223,27360332,Surname_223,803,Spain,Male,46.0,0,94150.68875811319,4,1,0,149917.54000291848,1
224,61772728,Surname_224,487,Spain,Female,43.0,1,213490.73764636545,4,1,1,97088.59549618742,0
225,85255773,Surname_225,425,Germany,Male,37.0,0,223862.22976196173,4,1,1,13241.651345772292,0
226,84024296,Surname_226,847,France,Male,48.0,3,63.617845545066444,2,0,0,113765.6076184862,0
227,40061152,Surname_227,685,France,Male,39.0,8,171349.15151990554,3,0,0,127398.22830272898,1
228,14486178,Surname_228,658,Germany,Male,26.0,8,106798.97280403993,4,0,0,16571.5300168547,1
229,43325816,Surname_229,581,Spain,Male,44.0,3,155388.7556359591,2,0,1,27757.858383457344,0
230,49359134,Surname_230,799,Spain,Female,34.0,0,2797.185666639612,1,1,1,84533.52752231344,1
231,41743658,Surname_231,664,Spain,Female,34.0,5,247836.05115194013,1,0,0,40315.58645741643,0
232,24162986,Surname_232,627,Germany,Female,35.0,5,14278.829793165081,1,0,1,105490.29001004799,0
233,96853486,Surname_233,571,Germany,Male,35.0,1,35531.001042059834,1,1,0,140405.6062642947,0
234,55244039,Surname_234,554,Spain,Male,31.0,0,48981.88161471731,4,0,1,75852.05661777838,1
235,79014503,Surname_235,357,Spain,Male,48.0,7,209233.0241505182,3,1,1,136973.91832740084,1
236,60539037,Surname_236,796,France,Male,46.0,6,43321.90044204212,2,0,0,131635.40656422594,0
237,82091959,Surname_237,570,France,Female,58.0,1,219222.46793787825,3,0,1,64881.58326252508,0
238,17748466,Surname_238,644,France,Male,53.0,2,167277.19342482756,3,0,0,13434.393466259078,1
239,81901839,Surname_239,689,France,Male,36.0,5,236190.42003771564,2,1,0,20565.624630234634,0
240,75769977,Surname_240,538,Germany,Female,29.0,3,189643.7025419766,1,1,0,12051.848834366414,0
241,48420362,Surname_241,839,Germany,Female,38.0,6,213804.4498513526,4,1,0,38855.90477497413,1
242,97040691,Surname_242,533,Spain,Female,25.0,1,175939.55153690526,2,0,0,70210.79954894757,0
243,48673692,Surname_243,587,France,,46.0,1,148768.9424466612,3,1,0,32546.396124858813,0
244,87866473,Surname_244,430,Spain,Male,42.0,6,230573.15914758173,4,0,1,127565.89574725999,0
245,40869637,Surname_245,470,Spain,Female,21.0,4,97006.88368791933,3,1,1,132585.146796792,0
246,69678644,Surname_246,682,Germany,Female,20.0,5,197078.7490649568,3,0,0,143433.03316338817,0
247,64742296,Surname_247,388,Spain,Female,28.0,8,183023.46120607146,3,0,1,123714.52695306343,0
248,42554655,Surname_248,493,France,Female,26.0,1,171344.65294972903,2,1,1,27420.285664813415,1
249,42063639,Surname_249,735,France,,55.0,8,43346.564042513026,3,0,0,55344.49710960817,0
250,39614183,Surname_250,798,Spain,Male,50.0,1,164277.12704050695,1,0,1,141082.37476710425,1
251,13547230,Surname_251,685,Germany,,43.0,7,62946.947889084535,4,1,0,136638.90099068085,0
252,97964266,Surname_252,562,Germany,Female,28.0,8,236009.0423083603,2,0,1,60905.75448794713,1
253,47991466,Surname_253,379,France,Male,45.0,6,8737.64913359651,4,0,1,131727.2585821585,1
254,82043339,Surname_254,433,Spain,Female,36.0,8,37528.76557847423,2,1,1,140663.8709792247,0
255,16668607,Surname_255,835,Germany,Female,57.0,2,205147.78581639813,1,0,0,103897.7703226026,0
256,76808910,Surname_256,793,Spain,Female,56.0,3,67410.98461665612,4,1,1,83918.56947702247,0
257,85179441,Surname_257,626,Spain,Male,40.0,0,114469.4758882703,4,0,0,25456.048872105566,0
258,54500956,Surname_258,654,Germany,Female,57.0,5,97240.34465917891,4,1,1,69667.3662792634,0
259,71179392,Surname_259,436,Germany,Male,18.0,9,144273.89208632376,1,1,1,78820.42332861443,1
260,62937430,Surname_260,818,Germany,Female,32.0,8,179316.56852111203,4,1,1,65593.6776642662,0
261,26515612,Surname_261,410,Spain,Female,49.0,0,129818.05691054357,4,1,0,76043.54410564926,1
262,65293847,Surname_262,538,France,Female,33.0,9,210929.16538255592,2,1,1,54306.38837237356,0
263,90691717,Surname_263,586,France,Male,22.0,2,30352.49387670294,4,0,0,25714.29014568251,1
264,80957725,Surname_264,766,Spain,Female,41.0,2,209413.8255708362,1,0,0,27842.465965149935,1
265,69888246,Surname_265,475,Spain,Male,34.0,7,25585.7798676829,4,1,0,71187.57947325255,1
266,14199639,Surname_266,546,Germany,Female,52.0,6,118651.03075057216,1,1,1,61391.91125486639,0
267,42113342,Surname_267,684,Spain,Male,47.0,6,223610.50833515654,1,0,0,97579.87823411678,0
268,73308531,Surname_268,674,Spain,Male,49.0,8,1655.0746548751326,4,1,0,66110.40184180863,1
269,52346849,Surname_269,579,Germany,Female,54.0,8,30534.463216030206,3,1,0,123049.54168513496,1
270,40725234,Surname_270,455,France,Male,35.0,4,100057.10327684894,2,1,0,23448.164935141827,1
271,22748149,Surname_271,795,Spain,Male,58.0,4,219875.8320182539,2,0,1,130579.34773817408,1
272,46289136,Surname_272,425,France,Male,18.0,0,88543.29555025064,1,1,0,20464.115568286557,1
273,37786206,Surname_273,731,Spain,Female,32.0,0,107023.09404252966,3,1,0,113007.39636721603,0
274,55814155,Surname_274,703,France,Female,42.0,7,237533.2906194076,1,1,0,119913.55806586712,0
275,29808966,Surname_275,716,France,Female,35.0,0,182526.22036400225,4,1,1,65259.75845955223,1
